SL	time	TC	MG	WU	Prot	MGc	WUc	Protc
0.333	8	65	116.4	53.3	88.4	113.50	52.14	89.68
0.333	2	65	109.3	55.6	88.0	110.93	55.81	88.33
0.333	8	45	122.7	51.1	90.5	121.08	50.89	90.18
0.2	8	55	122.5	33.3	90.9	128.06	31.65	91.08
0.2	2	55	119.1	46.7	92.0	120.14	43.66	93.13
0.2	5	45	123.2	32.0	95.8	119.26	33.86	95.95
1	5	45	85.0	100.0	100.0	87.66	97.19	101.45
0.2	5	65	126.5	29.3	92.3	123.84	32.11	90.85
1	2	55	87.3	100.0	100.0	81.74	101.65	99.83
1	8	55	85.9	100.0	100.0	84.86	103.03	98.88
1	5	65	69.9	100.0	100.0	73.74	98.14	99.85
0.333	2	45	109.7	56.7	95.8	112.60	57.86	94.43
0.333	5	55	124.5	55.6	85.3	126.14	50.22	84.94
0.333	5	55	127.3	48.9	84.6	126.14	50.22	84.94
0.333	5	55	127.1	44.4	84.6	126.14	50.22	84.94
0.333	5	55	123.3	53.3	84.6	126.14	50.22	84.94
0.333	5	55	128.5	48.9	84.6	126.14	50.22	84.94
